"sample","experiment_accession","run_accession","sample_accession","experiment_alias","run_alias","sample_alias","experiment_title","sample_title","sample_description"
"SRX5235437","SRX5235437","SRR8428092","SAMN10722636","B436-M03","B436-M03","B436-M03","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B436-M03","Collection Country: USA Collection Year: 2013"
"SRX5235438","SRX5235438","SRR8428093","SAMN10722637","B346-M03","B346-M03","B346-M03","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B346-M03","Collection Country: USA Collection Year: 2012"
"SRX5235439","SRX5235439","SRR8428094","SAMN10722638","B402-M06","B402-M06","B402-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B402-M06","Collection Country: USA Collection Year: 2014"
"SRX5235440","SRX5235440","SRR8428095","SAMN10722639","B352-M10","B352-M10","B352-M10","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B352-M10","Collection Country: USA Collection Year: 2013"
"SRX5235441","SRX5235441","SRR8428096","SAMN10722640","B402-M05","B402-M05","B402-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B402-M05","Collection Country: USA Collection Year: 2014"
"SRX5235442","SRX5235442","SRR8428097","SAMN10722641","B402-M03","B402-M03","B402-M03","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B402-M03","Collection Country: USA Collection Year: 2014"
"SRX5235443","SRX5235443","SRR8428098","SAMN10722642","B211-M10","B211-M10","B211-M10","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B211-M10","Collection Country: USA Collection Year: 2014"
"SRX5235444","SRX5235444","SRR8428099","SAMN10722643","B188-M06","B188-M06","B188-M06","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B188-M06","Collection Country: USA Collection Year: 2013"
"SRX5235445","SRX5235445","SRR8428100","SAMN10722644","B195-M03","B195-M03","B195-M03","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B195-M03","Collection Country: USA Collection Year: 2013"
"SRX5235446","SRX5235446","SRR8427557","SAMN10722101","B291-M05","B291-M05","B291-M05","Illumina HiSeq 2500 paired end sequencing: UWMLBonussub2","B291-M05","Collection Country: USA Collection Year: 2013"
