SRR9844190	sra-paired:SRR9844190
SRR9844191	sra-paired:SRR9844191
SRR9844192	sra-paired:SRR9844192
SRR9844193	sra-paired:SRR9844193
SRR9844194	sra-paired:SRR9844194
SRR9844195	sra-paired:SRR9844195
SRR9844196	sra-paired:SRR9844196
SRR9844197	sra-paired:SRR9844197
SRR9844198	sra-paired:SRR9844198
SRR9844199	sra-paired:SRR9844199
SRR9844200	sra-paired:SRR9844200
SRR9844201	sra-paired:SRR9844201
SRR9844202	sra-paired:SRR9844202
SRR9844203	sra-paired:SRR9844203
SRR9844204	sra-paired:SRR9844204
SRR9844205	sra-paired:SRR9844205
SRR9844206	sra-paired:SRR9844206
SRR9844207	sra-paired:SRR9844207
SRR9844208	sra-paired:SRR9844208
SRR9844209	sra-paired:SRR9844209
SRR9844210	sra-paired:SRR9844210
SRR9844211	sra-paired:SRR9844211
SRR9844212	sra-paired:SRR9844212
SRR9844213	sra-paired:SRR9844213
SRR9844214	sra-paired:SRR9844214
SRR9844215	sra-paired:SRR9844215
SRR9844216	sra-paired:SRR9844216
SRR9844217	sra-paired:SRR9844217
SRR9844218	sra-paired:SRR9844218
SRR9844219	sra-paired:SRR9844219
SRR9844220	sra-paired:SRR9844220
SRR9844221	sra-paired:SRR9844221
SRR9844222	sra-paired:SRR9844222
SRR9844223	sra-paired:SRR9844223
SRR9844224	sra-paired:SRR9844224
SRR9844225	sra-paired:SRR9844225
SRR9844226	sra-paired:SRR9844226
SRR9844227	sra-paired:SRR9844227
SRR9844228	sra-paired:SRR9844228
SRR9844229	sra-paired:SRR9844229
SRR9844230	sra-paired:SRR9844230
SRR9844231	sra-paired:SRR9844231
SRR9844232	sra-paired:SRR9844232
SRR9844233	sra-paired:SRR9844233
SRR9844234	sra-paired:SRR9844234
SRR9844235	sra-paired:SRR9844235
SRR9844236	sra-paired:SRR9844236
SRR9844237	sra-paired:SRR9844237
SRR9844238	sra-paired:SRR9844238
SRR9844239	sra-paired:SRR9844239
SRR9844240	sra-paired:SRR9844240
SRR9844241	sra-paired:SRR9844241
SRR9844242	sra-paired:SRR9844242
SRR9844243	sra-paired:SRR9844243
SRR9844244	sra-paired:SRR9844244
SRR9844245	sra-paired:SRR9844245
SRR9844246	sra-paired:SRR9844246
SRR9844247	sra-paired:SRR9844247
SRR9844248	sra-paired:SRR9844248
SRR9844249	sra-paired:SRR9844249
