SRS5179242.SRR9865472	sra-paired:SRR9865472
SRS5179245.SRR9865469	sra-paired:SRR9865469
SRS5179244.SRR9865470	sra-paired:SRR9865470
SRS5179247.SRR9865467	sra-paired:SRR9865467
SRS5179246.SRR9865468	sra-paired:SRR9865468
SRS5179509.SRR9865715	sra-paired:SRR9865715
SRS5179506.SRR9865718	sra-paired:SRR9865718
SRS5179505.SRR9865719	sra-paired:SRR9865719
SRS5179413.SRR9865643	sra-paired:SRR9865643
SRS5179421.SRR9865634	sra-paired:SRR9865634
SRS5179423.SRR9865633	sra-paired:SRR9865633
SRS5179424.SRR9865632	sra-paired:SRR9865632
SRS5179410.SRR9865647	sra-paired:SRR9865647
SRS5179402.SRR9865654	sra-paired:SRR9865654
SRS5179415.SRR9865641	sra-paired:SRR9865641
SRS5179416.SRR9865640	sra-paired:SRR9865640
SRS5179470.SRR9865754	sra-paired:SRR9865754
SRS5179471.SRR9865753	sra-paired:SRR9865753
SRS5179419.SRR9865637	sra-paired:SRR9865637
SRS5179473.SRR9865751	sra-paired:SRR9865751
SRS5179553.SRR9865671	sra-paired:SRR9865671
SRS5179542.SRR9865682	sra-paired:SRR9865682
SRS5179468.SRR9865588	sra-paired:SRR9865588
SRS5179469.SRR9865587	sra-paired:SRR9865587
SRS5179462.SRR9865594	sra-paired:SRR9865594
SRS5179463.SRR9865593	sra-paired:SRR9865593
SRS5179307.SRR9865582	sra-paired:SRR9865582
SRS5179306.SRR9865581	sra-paired:SRR9865581
SRS5179308.SRR9865580	sra-paired:SRR9865580
SRS5179309.SRR9865579	sra-paired:SRR9865579
SRS5179310.SRR9865578	sra-paired:SRR9865578
SRS5179311.SRR9865577	sra-paired:SRR9865577
SRS5179312.SRR9865576	sra-paired:SRR9865576
SRS5179579.SRR9865819	sra-paired:SRR9865819
SRS5179610.SRR9865788	sra-paired:SRR9865788
SRS5179609.SRR9865789	sra-paired:SRR9865789
SRS5179332.SRR9865556	sra-paired:SRR9865556
SRS5179333.SRR9865555	sra-paired:SRR9865555
SRS5179330.SRR9865558	sra-paired:SRR9865558
SRS5179331.SRR9865557	sra-paired:SRR9865557
SRS5179320.SRR9865568	sra-paired:SRR9865568
SRS5179321.SRR9865567	sra-paired:SRR9865567
SRS5179318.SRR9865570	sra-paired:SRR9865570
SRS5179319.SRR9865569	sra-paired:SRR9865569
SRS5179316.SRR9865572	sra-paired:SRR9865572
SRS5179317.SRR9865571	sra-paired:SRR9865571
SRS5179520.SRR9865704	sra-paired:SRR9865704
SRS5179519.SRR9865705	sra-paired:SRR9865705
