SRS11692880	sra-paired:SRR17643865
SRS11692879	sra-paired:SRR17643866
SRS11692878	sra-paired:SRR17643867
SRS11692877	sra-paired:SRR17643868
SRS11692875	sra-paired:SRR17643869
SRS11692876	sra-paired:SRR17643870
SRS11692874	sra-paired:SRR17643871
SRS11692873	sra-paired:SRR17643872
SRS11692871	sra-paired:SRR17643873
SRS11692872	sra-paired:SRR17643874
SRS11692870	sra-paired:SRR17643875
SRS11692869	sra-paired:SRR17643876
SRS11692868	sra-paired:SRR17643877
SRS11692867	sra-paired:SRR17643878
SRS11692865	sra-paired:SRR17643879
SRS11692866	sra-paired:SRR17643880
SRS11692864	sra-paired:SRR17643881
SRS11692863	sra-paired:SRR17643882
SRS11692862	sra-paired:SRR17643883
SRS11692861	sra-paired:SRR17643884
SRS11692860	sra-paired:SRR17643885
SRS11692859	sra-paired:SRR17643886
SRS11692858	sra-paired:SRR17643887
SRS11692857	sra-paired:SRR17643888
SRS11692855	sra-paired:SRR17643889
SRS11692856	sra-paired:SRR17643890
SRS11692853	sra-paired:SRR17643891
SRS11692854	sra-paired:SRR17643892
SRS11692852	sra-paired:SRR17643893
SRS11692851	sra-paired:SRR17643894
SRS11692849	sra-paired:SRR17643895
SRS11692850	sra-paired:SRR17643896
SRS11692847	sra-paired:SRR17643897
SRS11692848	sra-paired:SRR17643898
SRS11692846	sra-paired:SRR17643899
SRS11692845	sra-paired:SRR17643900
SRS11692843	sra-paired:SRR17643901
SRS11692844	sra-paired:SRR17643902
SRS11692842	sra-paired:SRR17643903
SRS11692840	sra-paired:SRR17643904
SRS11692841	sra-paired:SRR17643905
SRS11692839	sra-paired:SRR17643906
SRS11692838	sra-paired:SRR17643907
SRS11692836	sra-paired:SRR17643908
SRS11692835	sra-paired:SRR17643909
SRS11692837	sra-paired:SRR17643910
SRS11692834	sra-paired:SRR17643911
SRS11692832	sra-paired:SRR17643912
SRS11692833	sra-paired:SRR17643913
SRS11692831	sra-paired:SRR17643914
SRS11692830	sra-paired:SRR17643915
SRS11692829	sra-paired:SRR17643916
SRS11692828	sra-paired:SRR17643917
SRS11692827	sra-paired:SRR17643918
SRS11692826	sra-paired:SRR17643919
SRS11692824	sra-paired:SRR17643920
SRS11692825	sra-paired:SRR17643921
SRS11692823	sra-paired:SRR17643922
